Week,dry cough: (Puerto Rico),fever: (Puerto Rico),COVID-19 symptoms: (Puerto Rico),loss of smell: (Puerto Rico),coronavirus testing center: (Puerto Rico)
11/17/2019,0,30,0,0,0
11/24/2019,0,23,0,0,0
12/1/2019,0,32,0,0,0
12/8/2019,0,24,0,0,0
12/15/2019,0,44,0,0,0
12/22/2019,0,63,0,0,0
12/29/2019,0,40,0,0,0
1/5/2020,8,22,0,0,0
1/12/2020,7,18,0,0,0
1/19/2020,7,27,0,0,0
1/26/2020,0,40,0,0,0
2/2/2020,7,31,0,0,0
2/9/2020,0,32,0,0,0
2/16/2020,7,27,0,0,0
2/23/2020,0,31,0,0,0
3/1/2020,0,44,0,0,0
3/8/2020,7,61,13,0,0
3/15/2020,10,100,7,0,0
3/22/2020,6,89,10,6,0
3/29/2020,9,56,12,0,0
4/5/2020,0,23,0,6,0
4/12/2020,0,26,6,0,0
4/19/2020,9,39,6,6,0
4/26/2020,0,46,0,0,0
5/3/2020,0,28,6,0,0
5/10/2020,0,46,0,0,0
5/17/2020,0,30,0,0,0
5/24/2020,6,42,6,0,0
5/31/2020,0,28,0,0,0
6/7/2020,0,22,0,0,0
6/14/2020,0,25,0,0,0
6/21/2020,0,19,6,0,0
6/28/2020,0,26,7,0,0
7/5/2020,7,24,7,0,0
7/12/2020,10,55,7,0,0
7/19/2020,0,54,7,0,0
7/26/2020,0,29,7,0,0
8/2/2020,0,30,6,0,0
8/9/2020,0,32,6,0,0
8/16/2020,0,53,12,6,0
8/23/2020,6,40,0,0,0
8/30/2020,0,36,6,0,0
9/6/2020,12,23,0,0,0
9/13/2020,0,40,0,0,0
9/20/2020,6,39,0,0,0
9/27/2020,0,34,6,0,0
10/4/2020,0,36,0,0,0
10/11/2020,7,21,7,0,0
10/18/2020,7,23,7,0,0
10/25/2020,0,45,0,0,0
11/1/2020,0,25,0,6,0
11/8/2020,0,23,0,0,0
